url_id,parent_doc_id,record_type,business_function,title,indexable,rag_index_mode,quality_status,quality_reasons,content_chars,chunk_count,chunk_coverage_ratio,faq_count,faq_chunk_count,table_count,action_count,attachment_count,video_count,supplementary_link_count,pagination_detected,pagination_is_complete,pagination_page_count,processing_policy,needs_review
DP-001,DP-001,page,예금자보호제도,보호한도,True,full,pass,,1119,1,1.0,0,0,0,0,0,0,0,False,True,1,,False
DP-002,DP-002,page,예금자보호제도,예금자보호제도,True,full,pass,,740,4,1.0,0,0,0,0,0,0,0,False,True,1,,False
DP-003,DP-003,page,예금자보호제도,보호대상 > 금융회사 > 개요,True,full,pass,,1077,3,1.0,0,0,1,2,2,0,0,False,True,1,,False
DP-004,DP-004,page,예금자보호제도,보호대상 > 금융상품 > 개요,True,full,pass,,2536,4,1.0,0,0,1,0,0,0,0,False,True,1,,False
DP-005,DP-005,page,예금자보호제도,"고객센터 > FAQ > 미수령금통합신청(사이트 분류상 명칭, 실제 내용은 예금보호)",True,full,pass,,12633,38,1.0,38,38,0,0,0,0,0,True,True,4,,False
DP-006,DP-006,page,예금자보호제도,예금자보호제도 FAQ,True,full,pass,,3983,17,1.0,17,17,0,0,0,0,0,False,True,1,,False
DP-007,DP-007,page,예금자보호제도,예금자보호한도(해외),True,reference,pass,,317,2,1.0,0,0,1,0,0,0,0,False,True,1,,False
BI-001,BI-001,page,예금보험금 안내,예금보험금 안내 > 신청시 구비서류,True,full,pass,,2334,2,1.0,0,0,1,10,10,0,0,False,True,1,,False
BI-002,BI-002,page,예금보험금 안내,예금보험금 신청 절차 > 예금보험금 신청절차,True,full,pass,,1194,1,1.0,0,0,0,1,0,0,0,False,True,1,,False
BI-003,BI-003,page,예금보험금 안내,예금보험금이란?,True,full,pass,,2358,4,1.0,0,0,0,1,0,0,0,False,True,1,,False
BI-004,BI-004,page,예금보험금 안내,예금보험금 안내 > 보험금 지급대상 금융회사,True,full,pass,,2568,3,1.0,0,0,1,1,0,0,0,True,True,5,,False
UN-001,UN-001,page,고객 미수령금 신청,미수령금 통합조회/신청 > 고객미수령금,True,full,pass,,660,3,1.0,0,0,0,4,0,0,0,False,True,1,,False
UN-002,UN-002,page,고객 미수령금 신청,미수령금통합신청 > 소개와 신청방법 안내 > 예금자 대상 전화문의 안내,True,full,pass,,579,1,1.0,0,0,0,0,0,0,0,False,True,1,,False
UN-003,UN-003,page,고객 미수령금 신청,미수령금통합신청 > 소개와 신청방법 안내 > 안내,True,full,pass,,978,3,1.0,0,0,0,2,0,0,0,False,True,1,,False
UN-004,UN-004,page,고객 미수령금 신청,미수령금 통합조회/신청 > 상속인 금융거래조회,True,full,pass,,1213,3,1.0,0,0,0,1,0,0,0,False,True,1,,False
MT-001,MT-001,page,착오송금 반환 신청,착오송금 반환지원제도 > 착오송금반환지원 제도란,True,full,pass,,84,1,1.0,0,0,0,0,0,1,1,False,True,1,,False
